활동ID,거래처명,담당영업,활동유형,활동일,활동결과,다음액션
ACT-0286,KB국민은행 서울북부지점,김철수,전화상담,2024-05-11,긍정,PO 수령 후 착수
ACT-0287,경남은행,김철수,전화상담,2022-07-17,보류,내부 승인 대기 중
ACT-0288,IBK기업은행 대구본부,정대한,제품시연,2022-10-26,부정,타사 제품 유지 결정
ACT-0289,우정사업본부 광주남부지점,최수진,계약협의,2023-10-16,긍정,PO 수령 후 착수
ACT-0290,BGF리테일,이영희,제품시연,2024-10-29,긍정,시범 설치 일정 확정
ACT-0291,국민건강보험공단 인천중부지점,한미래,전화상담,2023-08-12,긍정,시범 설치 일정 확정
ACT-0292,BGF리테일 서울동부지점,정대한,제안서발송,2024-11-18,긍정,계약서 발송 예정
ACT-0293,롯데마트 부산본부,최수진,제안서발송,2022-09-28,부정,경쟁사 선정됨
ACT-0294,IBK기업은행 대구본부,김철수,전화상담,2024-08-14,보류,기술 검토 결과 확인 예정
ACT-0295,경남은행 서울남부지점,박민준,제품시연,2024-06-03,부정,타사 제품 유지 결정
ACT-0296,한국철도공사 광주중부지점,김철수,전화상담,2023-04-13,긍정,PO 수령 후 착수
ACT-0297,하나은행 경기동부지점,한미래,방문미팅,2023-09-23,보류,기술 검토 결과 확인 예정
ACT-0298,한국철도공사,정대한,방문미팅,2024-05-01,보류,예산 확정 후 재미팅
ACT-0299,신한은행,최수진,제품시연,2022-01-01,보류,기술 검토 결과 확인 예정
ACT-0300,롯데마트 부산본부,한미래,제안서발송,2023-04-18,부정,도입 시기 미정
